I-I	Remdesivir
O	in
I-P	adults
I-P	with
I-P	severe
I-P	COVID-19
I-P	:
O	a
O	randomised
O	,
O	double-blind
O	,
O	placebo-controlled
O	,
O	multicentre
O	trial
O	Background
O	No
O	specific
O	antiviral
O	drug
O	has
O	been
O	proven
O	effective
O	for
O	treatment
O	of
I-P	patients
I-P	with
I-P	severe
I-P	coronavirus
I-P	disease
I-P	2019
I-P	(
I-P	COVID-19
I-P	)
I-P	.
I-I	Remdesivir
I-I	(
I-I	GS-5734
I-I	)
O	,
O	a
O	nucleoside
O	analogue
O	prodrug
O	,
O	has
O	inhibitory
O	effects
O	on
O	pathogenic
O	animal
O	and
O	human
O	coronaviruses
O	,
O	including
O	severe
O	acute
O	respiratory
O	syndrome
O	coronavirus
O	2
O	(
O	SARS-CoV-2
O	)
O	in
O	vitro
O	,
O	and
O	inhibits
O	Middle
O	East
O	respiratory
O	syndrome
O	coronavirus
O	,
O	SARS-CoV-1
O	,
O	and
O	SARS-CoV-2
O	replication
O	in
O	animal
O	models
O	.
O	Methods
O	We
O	did
O	a
O	randomised
O	,
O	double-blind
O	,
O	placebo-controlled
O	,
O	multicentre
O	trial
O	at
I-P	ten
I-P	hospitals
I-P	in
I-P	Hubei
I-P	,
I-P	China
I-P	.
I-P	Eligible
I-P	patients
I-P	were
I-P	adults
I-P	(
I-P	aged
I-P	≥18
I-P	years
I-P	)
I-P	admitted
I-P	to
I-P	hospital
I-P	with
I-P	laboratory-confirmed
I-P	SARS-CoV-2
I-P	infection
I-P	,
I-P	with
I-P	an
I-P	interval
I-P	from
I-P	symptom
I-P	onset
I-P	to
I-P	enrolment
I-P	of
I-P	12
I-P	days
I-P	or
I-P	less
I-P	,
I-P	oxygen
I-P	saturation
I-P	of
I-P	94
I-P	%
I-P	or
I-P	less
I-P	on
I-P	room
I-P	air
I-P	or
I-P	a
I-P	ratio
I-P	of
I-P	arterial
I-P	oxygen
I-P	partial
I-P	pressure
I-P	to
I-P	fractional
I-P	inspired
I-P	oxygen
I-P	of
I-P	300
I-P	mm
I-P	Hg
I-P	or
I-P	less
I-P	,
I-P	and
I-P	radiologically
I-P	confirmed
I-P	pneumonia
I-P	.
O	Patients
O	were
O	randomly
O	assigned
O	in
O	a
O	2:1
O	ratio
O	to
I-I	intravenous
I-I	remdesivir
O	(
O	200
O	mg
O	on
O	day
O	1
O	followed
O	by
O	100
O	mg
O	on
O	days
O	2–10
O	in
I-I	single
I-I	daily
I-I	infusions
I-I	)
I-I	or
I-I	the
I-I	same
I-I	volume
I-I	of
I-I	placebo
I-I	infusions
I-I	for
I-I	10
I-I	days
I-I	.
I-I	Patients
I-I	were
I-I	permitted
I-I	concomitant
I-I	use
I-I	of
I-I	lopinavir–ritonavir
I-I	,
I-I	interferons
I-I	,
I-I	and
I-I	corticosteroids
I-I	.
O	The
O	primary
O	endpoint
O	was
I-O	time
I-O	to
I-O	clinical
I-O	improvement
O	up
O	to
O	day
O	28
O	,
O	defined
O	as
O	the
O	time
O	(
O	in
O	days
O	)
O	from
O	randomisation
O	to
O	the
O	point
O	of
O	a
I-O	decline
I-O	of
I-O	two
I-O	levels
I-O	on
I-O	a
I-O	six-point
I-O	ordinal
I-O	scale
I-O	of
I-O	clinical
I-O	status
I-O	(
I-O	from
I-O	1=discharged
I-O	to
I-O	6=death
I-O	)
I-O	or
I-O	discharged
I-O	alive
I-O	from
I-O	hospital
O	,
O	whichever
O	came
O	first
O	.
O	Primary
O	analysis
O	was
O	done
O	in
O	the
O	intention-to-treat
O	(
O	ITT
O	)
O	population
O	and
O	safety
O	analysis
O	was
O	done
O	in
O	all
O	patients
O	who
O	started
O	their
O	assigned
O	treatment
O	.
O	This
O	trial
O	is
O	registered
O	with
O	ClinicalTrials.gov
O	,
O	NCT04257656
O	.
O	Findings
I-P	Between
I-P	Feb
I-P	6
I-P	,
I-P	2020
I-P	,
I-P	and
I-P	March
I-P	12
I-P	,
I-P	2020
I-P	,
I-P	237
I-P	patients
I-P	were
I-P	enrolled
I-P	and
I-P	randomly
I-P	assigned
I-P	to
I-P	a
I-P	treatment
I-P	group
I-P	(
I-P	158
I-P	to
I-P	remdesivir
I-P	and
I-P	79
I-P	to
I-P	placebo
I-P	)
I-P	;
I-P	one
I-P	patient
I-P	in
I-P	the
I-P	placebo
I-P	group
I-P	who
I-P	withdrew
I-P	after
I-P	randomisation
I-P	was
I-P	not
I-P	included
I-P	in
I-P	the
I-P	ITT
I-P	population
I-P	.
I-I	Remdesivir
O	use
O	was
O	not
O	associated
O	with
O	a
O	difference
O	in
I-O	time
I-O	to
I-O	clinical
I-O	improvement
O	(
O	hazard
O	ratio
O	1·23
O	[
O	95
O	%
O	CI
O	0·87–1·75
O	]
O	)
O	.
O	Although
O	not
O	statistically
O	significant
O	,
O	patients
O	receiving
O	remdesivir
O	had
O	a
O	numerically
O	faster
I-O	time
I-O	to
I-O	clinical
I-O	improvement
O	than
O	those
O	receiving
I-I	placebo
O	among
O	patients
O	with
O	symptom
O	duration
O	of
O	10
O	days
O	or
O	less
O	(
O	hazard
O	ratio
O	1·52
O	[
O	0·95–2·43
O	]
O	)
O	.
I-O	Adverse
I-O	events
O	were
O	reported
O	in
O	102
O	(
O	66
O	%
O	)
O	of
O	155
O	remdesivir
O	recipients
O	versus
O	50
O	(
O	64
O	%
O	)
O	of
O	78
O	placebo
O	recipients
O	.
O	Remdesivir
O	was
O	stopped
O	early
O	because
O	of
I-O	adverse
I-O	events
O	in
O	18
O	(
O	12
O	%
O	)
O	patients
O	versus
O	four
O	(
O	5
O	%
O	)
O	patients
O	who
O	stopped
O	placebo
O	early
O	.
O	Interpretation
O	In
O	this
O	study
O	of
I-P	adult
I-P	patients
I-P	admitted
I-P	to
I-P	hospital
I-P	for
